MORTALITY,INFANT_DEATH,ALCOHOL,EXPENDITURE_PERCENT,HEPATITUS_B,MEASLES,BMI,UNDER_FIVE_DEATH,POLIIO,EXPENDITURE_TOTAL,DIPHTHERIA,HIV_AIDS,GDP,THIN_1TO19_YR,THIN_5TO9_YR,INC_COMPOSITION,SCHOOLING
682.0,23.0,5.76,36.2929176,,0.0,44.2,58.0,66.0,8.9,66.0,1.9,662.2795182,4.0,4.0,0.47,8.6
533.0,29.0,3.97,20.39568283,,3575.0,17.2,48.0,46.0,13.63,44.0,1.2,139.3147734,1.3,1.4,0.292,6.7
519.0,30.0,4.21,33.34691455,,649.0,17.5,48.0,38.0,11.83,38.0,1.5,227.779471,1.1,1.2,0.302,7.0
57.0,30.0,4.07,38.61473209,,586.0,18.4,47.0,66.0,11.69,73.0,1.9,263.7618312,9.7,9.8,0.322,7.4
496.0,30.0,3.99,38.52454761,,7.0,18.8,47.0,69.0,11.66,65.0,2.1,263.145817,9.5,9.5,0.332,7.6
588.0,51.0,1.18,13.76270195,,304.0,14.1,84.0,73.0,6.7,75.0,25.5,153.2594872,8.0,7.9,0.391,10.7
48.0,30.0,3.83,42.08892911,,29.0,19.2,47.0,67.0,12.25,65.0,2.2,287.6891942,9.3,9.3,0.341,7.8
599.0,48.0,1.15,12.79760626,,150.0,14.4,80.0,86.0,5.7,9.0,25.1,146.7615397,7.9,7.7,0.387,10.1
614.0,44.0,2.62,45.61688038,,30930.0,16.8,72.0,85.0,7.16,85.0,18.7,341.955625,7.5,7.5,0.418,9.6
67.0,46.0,1.1,3.885394742,64.0,92.0,14.8,75.0,79.0,4.82,64.0,24.7,29.9798977,7.7,7.6,0.388,10.4
593.5,28.5,4.08,19.00037894,68.0,32.0,23.4,44.0,66.0,4.405,64.5,17.900000000000002,388.340061,9.25,9.25,0.37749999999999995,8.6
695.0,15.5,3.3649999999999998,28.95184876,47.0,499.0,27.049999999999997,23.5,47.5,6.41,78.5,35.75,658.1487334999999,9.55,9.55,0.4275,10.1
647.0,38.0,2.61,19.974333141333332,74.5,5861.333333333333,19.933333333333334,61.0,80.0,6.45,79.0,24.366666666666664,283.0639636,8.0,7.966666666666666,0.39733333333333337,9.8
369.5,15.0,3.1149999999999998,33.95680909,39.5,167.5,26.6,23.5,81.0,6.745,40.0,37.2,419.4314668,5.449999999999999,5.5,0.433,10.35
615.0,40.0,1.11,58.13583343,89.0,1116.0,15.5,65.0,94.0,7.82,89.0,23.4,274.2256294,7.5,7.4,0.366,10.0
405.2,32.6,2.1740000000000004,26.6688595762,76.66666666666667,707.6,16.8,52.0,62.4,4.324,67.4,16.46,481.33688564000005,4.48,4.46,0.3206,7.44
7.0,28.0,4.57,34.26216876,68.0,212.0,27.9,45.0,71.0,5.12,7.0,26.8,414.796232,8.6,8.6,0.408,9.5
358.5,23.0,2.215,29.6721912555,17.0,12518.5,21.85,36.5,47.0,7.029999999999999,46.5,26.099999999999998,220.3857615,4.3,4.2,0.4365,10.25
60.333333333333336,12.333333333333334,2.9233333333333333,34.22863077,93.0,1258.3333333333333,20.466666666666665,18.0,44.666666666666664,4.663333333333333,44.666666666666664,25.866666666666664,1008.8535162,3.4333333333333336,3.5,0.37366666666666665,6.7
202.33333333333334,43.666666666666664,1.8566666666666667,39.32574940999999,,3643.6666666666665,17.066666666666666,70.33333333333333,43.333333333333336,4.596666666666667,45.333333333333336,8.966666666666667,375.2143043333333,4.2,4.233333333333333,0.3406666666666667,5.466666666666666
258.5,10.0,3.575,21.870602117,9.0,410.5,22.65,15.0,67.0,5.0,69.5,30.9,175.05471805,8.95,9.05,0.406,7.5
308.4,16.8,3.144,82.9899242344,88.75,976.2,23.36,26.8,79.0,6.562,78.2,32.78,809.74994348,7.720000000000001,7.74,0.43400000000000005,9.26
537.0,16.5,3.3,7.2819668175,43.0,23.0,15.5,25.0,81.0,4.880000000000001,82.5,15.95,482.4043174,8.55,8.5,0.40349999999999997,9.45
56.0,17.0,1.54,46.90117916,,3.0,18.6,26.0,47.0,3.99,51.0,10.0,347.673678,9.6,9.6,0.323,6.0
491.5,12.25,4.077500000000001,124.9334499125,48.5,244.25,25.450000000000003,19.25,88.0,6.225,87.0,33.125,1491.42703035,4.85,4.8500000000000005,0.4895,10.4
391.0,96.0,2.82,24.037942,,11945.0,16.3,157.0,37.0,3.63,41.0,2.3,711.181716,1.5,1.5,0.401,5.5
310.5,72.5,7.175000000000001,26.204520340000002,72.0,21398.0,20.6,118.5,64.0,5.619999999999999,62.5,17.65,327.3159533,7.6,7.6,0.398,9.7
679.0,2.0,5.48,306.9527349,87.0,1.0,3.5,4.0,97.0,5.73,97.0,37.2,3128.97793,11.8,11.8,0.56,11.8
441.5,56.0,2.495,47.99116971,,622.5,17.9,90.5,25.0,4.405,26.0,5.7,588.3084114999999,5.4,5.3500000000000005,0.368,6.050000000000001
403.8,147.8,4.926,46.330489129,89.66666666666667,42458.6,19.56,240.4,60.4,6.956,60.0,15.8,530.18261648,8.059999999999999,8.040000000000001,0.3346,8.280000000000001
